,genres,num ratings,ave rating,num movies
0,(no genres listed),361,3.0069252077562325,242
1,Action,34198,2.855415521375519,176
2,Adventure,53829,3.8550966950900074,76
3,Animation,2269,3.353018951079771,82
4,Children,1567,2.528717294192725,24
5,Comedy,1316161,3.256815085692404,2251
6,Crime,5650,3.2641592920353983,52
7,Documentary,173848,3.789773250195573,1879
8,Drama,1467402,3.693751269250008,4416
9,Fantasy,23125,3.2303135135135137,28
10,Film-Noir,2821,3.882842963488125,14
11,Horror,148404,3.020653082127166,557
12,IMAX,30,2.533333333333333,1
13,Musical,7575,3.400990099009901,56
14,Mystery,3149,3.8902826294061605,27
15,Romance,14836,3.221892693448369,77
16,Sci-Fi,18237,2.9871963590502824,117
17,Thriller,152139,3.525187493016255,264
18,War,3847,3.6564855731739017,32
19,Western,33320,3.5349639855942376,207
