,movieId,rating,title,genres,num ratings
0,1,3.921239561324077,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,49695
1,2,3.2119768016904193,Jumanji (1995),Adventure|Children|Fantasy,22243
2,3,3.1510404397330194,Grumpier Old Men (1995),Comedy|Romance,12735
3,4,2.8613933236574747,Waiting to Exhale (1995),Comedy|Drama|Romance,2756
4,5,3.064591727653976,Father of the Bride Part II (1995),Comedy,12161
5,6,3.8349303318130468,Heat (1995),Action|Crime|Thriller,23899
6,7,3.3664840675873777,Sabrina (1995),Comedy|Romance,12961
7,8,3.142049469964664,Tom and Huck (1995),Adventure|Children,1415
8,9,3.0049242424242424,Sudden Death (1995),Action,3960
9,10,3.430029305292191,GoldenEye (1995),Action|Adventure|Thriller,29005
10,11,3.667712806959586,"American President, The (1995)",Comedy|Drama|Romance,18162
11,12,2.6197659297789335,Dracula: Dead and Loving It (1995),Comedy|Horror,3845
12,13,3.272416153319644,Balto (1995),Adventure|Animation|Children,1461
13,14,3.432082364662903,Nixon (1995),Drama,6022
14,15,2.7219931271477664,Cutthroat Island (1995),Action|Adventure|Romance,2910
15,16,3.7874554444061173,Casino (1995),Crime|Drama,17394
16,17,3.9685730875308463,Sense and Sensibility (1995),Drama|Romance,20667
17,18,3.3736305977320775,Four Rooms (1995),Comedy,5203
18,19,2.6074123603018435,Ace Ventura: When Nature Calls (1995),Comedy,20938
19,20,2.8807541625857005,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,4084
20,21,3.581688505556477,Get Shorty (1995),Comedy|Crime|Thriller,24116
21,22,3.319399677679291,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,9928
22,23,3.1482352941176472,Assassins (1995),Action|Crime|Thriller,4250
23,24,3.199849454271735,Powder (1995),Drama|Sci-Fi,7971
24,25,3.689509581032803,Leaving Las Vegas (1995),Drama|Romance,21553
25,26,3.628856624319419,Othello (1995),Drama,2755
26,27,3.413520097442144,Now and Then (1995),Children|Drama,1642
27,28,4.057545973367152,Persuasion (1995),Drama|Romance,3154
28,29,3.952230046948357,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,8520
29,30,3.633879781420765,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1281
30,31,3.250344462109168,Dangerous Minds (1995),Drama,9435
31,32,3.8980546909737663,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,44980
32,33,3.0076923076923077,Wings of Courage (1995),Adventure|Romance|IMAX,65
33,34,3.6430940939389242,Babe (1995),Children|Drama,32255
34,35,3.5016744809109177,Carrington (1995),Drama|Romance,1493
35,36,3.9427170935652844,Dead Man Walking (1995),Crime|Drama,20809
36,37,3.0176470588235293,Across the Sea of Time (1995),Documentary|IMAX,85
37,38,2.857789855072464,It Takes Two (1995),Children|Comedy,552
38,39,3.413632208425383,Clueless (1995),Comedy|Romance,26254
39,40,3.646726862302483,"Cry, the Beloved Country (1995)",Drama,886
40,41,3.8521006611217743,Richard III (1995),Drama|War,4689
41,42,3.0551276854479124,Dead Presidents (1995),Action|Crime|Drama,2467
42,43,3.4684561128526648,Restoration (1995),Drama,2552
43,44,2.653874918201365,Mortal Kombat (1995),Action|Adventure|Fantasy,10697
44,45,3.3843613567670436,To Die For (1995),Comedy|Drama|Thriller,8933
45,46,3.2748829953198126,How to Make an American Quilt (1995),Drama|Romance,3205
46,47,4.053492566302111,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,43249
47,48,2.9461137513414073,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,13046
48,49,3.5847457627118646,When Night Is Falling (1995),Drama|Romance,236
49,50,4.334372207803259,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,47006
50,51,2.5555555555555554,Guardian Angel (1994),Action|Drama|Thriller,27
51,52,3.541148068669528,Mighty Aphrodite (1995),Comedy|Drama|Romance,9320
52,53,3.6966666666666668,Lamerica (1994),Adventure|Drama,150
53,54,2.8546025104602513,"Big Green, The (1995)",Children|Comedy,956
54,55,3.241214057507987,Georgia (1995),Drama,939
55,56,1.8714285714285714,Kids of the Round Table (1995),Adventure|Children|Fantasy,70
56,57,3.324518245182452,Home for the Holidays (1995),Drama,2439
57,58,3.978396397956533,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,11549
